running build
running build_ext
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 145db70
meminfo malloc_new 145db70
meminfo free 1463190
meminfo malloc_copy 1463190
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 1460680
meminfo malloc_new 1460680
meminfo free 1465ca0
meminfo malloc_copy 1465ca0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 1463190
meminfo malloc_new 1463190
meminfo free 14687b0
meminfo malloc_copy 14687b0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 1465ca0
meminfo malloc_new 1465ca0
meminfo free 146b2c0
meminfo malloc_copy 146b2c0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_new 146ddd0
meminfo free 14687b0
meminfo malloc_new 14687b0
meminfo free 146ddd0
meminfo malloc_copy 146ddd0
meminfo malloc_new 14708e0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 14708e0
meminfo malloc_new 14708e0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 14708e0
meminfo malloc_new 14708e0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 14708e0
meminfo malloc_new 14708e0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 14708e0
meminfo malloc_new 14708e0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 14708e0
meminfo malloc_new 14708e0
meminfo free 146b2c0
meminfo malloc_new 146b2c0
meminfo free 14708e0
